id,location,latitude,longitude,postalCode,walkScore,propertyType,style,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage,price
166,"51+Hawktree+Ridge,Stonebridge+Ottawa",45.2520901,-75.7191509,K2J 5N7,6,Residential,Detached,2004,4,5,4,2,35.86,18.92,"949,900"
167,"121+Post+Road,Glencairn+/+Hazeldean+Ottawa",45.2956688,-75.8775234,K2L 1L1,48,Residential,Detached,,4,2,3,1,30.48,19.81,"499,000"
168,"2301+Relin+Way,North+Gower+Ottawa",45.1282586,-75.7090878,K0A 2Y0,28,Residential,Detached,1987,3,3,6,2,70.1,33.53,"574,900"
169,"D+-+770+Chapman+Mills+Drive,Chapman+Mills+Ottawa",45.2686607,-75.7340056,K2J 3V2,31,Residential,Stacked,2012,3,3,1,1,0,0,"399,000"
170,"141+-+1512+Walkley+Road,Heron+Gate+Ottawa",45.3753509,-75.6487714,K1V 2G5,56,Residential,Stacked,2007,2,2,1,0,0,0,"299,900"
171,"3420+Southgate+Road,Southkeys+Ottawa",45.3555908,-75.6486836,K1V 9P9,70,Residential,Row Unit,1978,3,2,1,0,0,0,"274,900"
172,"1704+-+234+Rideau+Street,Sandy+Hill+Ottawa",45.4276049,-75.6876874,K1N 0A9,96,Residential,Apartment,2011,2,2,1,1,0,0,"524,900"
173,"246+Cityview+Crescent,Royal+Ridge+Ottawa",45.4869498,-75.4751705,K4A 0T9,26,Residential,Row Unit,2011,3,3,3,1,28.5,6.1,"499,880"
174,"501+-+20+Chesterton+Drive,Ottawa",45.352086,-75.729213,K2E 6Z7,70,Residential,Apartment,1975,1,1,1,0,0,0,"180,000"
175,"9+Nelford+Court,Kanata+Lakes+Ottawa",45.3222401,-75.908261,K2K 2L8,14,Residential,Semi Detached,1989,3,3,2,1,42.03,13.75,"719,900"
176,"2610+Draper+Avenue,Ottawa",45.3418157,-75.790027,K2H 8V8,47,Residential,Row Unit,,3,2,1,0,0,0,"295,000"
177,"55+Woodburn+Drive,Blackburn+Hamlet+Ottawa",45.4328433,-75.5738095,K1B 3A6,31,Residential,Detached,1972,3,2,3,1,30.48,17.07,"550,000"
178,"15+Eastpark+Drive,Blackburn+Hamlet+Ottawa",45.435761,-75.5588706,K1B 4B6,40,Residential,Detached,1970,4,3,3,1,0,18.29,"649,000"
179,"14+Amherst+Drive,Barrhaven+Ottawa",45.2724681,-75.7537636,K2J 1V9,65,Residential,Semi Detached,1979,3,2,2,1,30.48,10.36,"499,900"
180,"1107+-+485+Richmond+Road,Westboro+Ottawa",45.3724494,-75.7798211,K2A 3W9,53,Residential,Apartment,2016,1,1,0,0,0,0,"349,900"
181,"144+Salisbury+Street,Carp+Ottawa",45.3444975,-76.0285691,K0A 1L0,19,Residential,Semi Detached,2017,3,3,2,1,27.36,10.06,"499,900"
182,"2+-+275+Charlotte+Street,Sandy+Hill+Ottawa",45.4301387,-75.673744,K1N 9L1,75,Residential,Apartment,1986,2,2,1,1,0,0,"569,000"
183,"705+-+555+Brittany+Drive,Viscount+Alexander+Park+Ottawa",45.4437344,-75.6425562,,73,Single Family,,1975,2,2,,,,,"269,900"
184,"2207+Mondavi+Street,Avalon+Ottawa",45.4768025,-75.4572601,K4A 4R9,30,Residential,Row Unit,2003,2,2,3,1,34.98,6,"399,900"
185,"97+Mccurdy+Drive,Ottawa",45.3013875,-75.9031018,K2L 2N6,43,Residential,Detached,1981,4,3,4,2,27.43,21.34,"775,000"
186,"1203+-+238+Besserer+Street,Sandy+Hill+Ottawa",45.4277362,-75.6856101,K1N 6B1,95,Residential,Apartment,2013,1,1,1,1,0,0,"409,900"
187,"381+Montfort+Street,Vanier+Ottawa",45.4399529,-75.6549256,K1L 5M9,70,Residential,Detached,1930,3,1,3,1,30.48,16.15,"599,900"
188,"1328+Rideout+Crescent,Parkway+Park+Ottawa",45.350923,-75.7690738,K2C 2X8,42,Residential,Detached,1959,2,1,3,0,16.93,28.66,"549,900"
189,"103C+-+2041+Arrowsmith+Drive,Beacon+Hill+South+Ottawa",45.4385597,-75.5970144,K1J 7V7,34,Residential,Apartment,1975,1,1,1,0,0,0,"139,900"
190,"764+White+Alder+Avenue,Findlay+Creek+Ottawa",45.3223427,-75.6024676,K1T 0E9,27,Residential,Row Unit,2010,3,3,2,1,30,6.1,"469,000"
191,"1419+Du+Gouverneur+Drive,Cumberland+Ridge+Ottawa",45.5031093,-75.4238455,K4C 1E2,1,Lots/Acreage,,,,,,,117.2,45.58,"365,000"
192,"12+Sunnyside+Drive,Stittsville+South+Ottawa",45.2520176,-75.9088753,K2S 1J5,18,Residential,Detached,,3,2,6,2,32.61,42.06,"799,000"
193,"1310+-+255+Bay+Street,Centre+Town+Ottawa",45.4153695,-75.7037667,K1R 0C5,92,Residential,Apartment,2016,1,1,0,0,0,0,"424,900"
194,"1904+-+505+St+Laurent+Boulevard,Viscount+Alexander+Park+Ottawa",45.4448909,-75.6481926,K1K 3X4,61,Residential,Apartment,1972,2,1,1,1,0,0,"249,900"
195,"461+Brettonwood+Ridge,Heritage+Hills+Kanata+Lakes+Ottawa",45.3049282,-75.9373083,K2T 0H8,8,Residential,Row Unit,2015,3,3,2,1,29.87,6.1,"509,900"
196,"958+Pinecrest+Road,Fairfield+Heights+Ottawa",45.3540115,-75.7927111,K2B 6B5,49,Lots/Acreage,,,,,,,40.44,15.24,"695,000"
197,"101+Laval+Street,Beechwood+Village+Ottawa",45.439825,-75.6732858,K1L 7Z5,83,Residential,Detached,1920,2,2,3,0,30.18,10.06,"599,000"
198,"511+-+530+De+Mazenod+Avenue,Greystone+Village+Ottawa",45.4097091,-75.6777846,K1S 5W8,52,Residential,Apartment,2020,2,2,1,1,0,0,"849,000"
199,"193+Hannah+Street,Vanier+Ottawa",45.4384255,-75.6646295,K1L 7M4,76,Residential,Detached,,3,3,3,1,20.12,15.24,"399,900"
200,"410+Johnny+Porter+Court,King's+Creek+Estates+-+Phase+2+Ottawa",45.4215296,-75.6971931,K0A 1B0,1,Residential,Detached,2020,4,3,6,3,122.04,45.5,"838,900"
201,"6315+Tealwood+Place,Chapel+Hill+Ottawa",45.452936,-75.5317943,K1C 7J9,36,Residential,Stacked,1994,2,2,2,0,0,0,"299,900"
202,"162+-+825+Cahill+Drive,Hunt+Club+Ottawa",45.3465944,-75.6667278,K1V 9N8,46,Residential,Row Unit,1978,3,2,1,0,0,0,"239,900"
203,"1604+-+3580+Rivergate+Way,Quinterra+Ottawa",45.345651,-75.6937513,K1V 1V5,20,Residential,Apartment,2007,2,2,2,2,0,0,"724,900"
204,"103+Defence+Street,Emerald+Meadows+Trailwest+Ottawa",45.2675977,-75.881249,K2V 0N2,7,Residential,Detached,2019,3,3,4,2,31.97,12.8,"774,900"
205,"934+Pinecrest+Road,Ottawa+Ottawa",45.3549652,-75.7931772,K2B 6B3,49,Residential,Semi Detached,2010,3,4,3,1,32.92,7.52,"719,900"
206,"134+Lamplighters+Drive,Barrhaven+Ottawa",45.2671787,-75.7738264,K2J 0C1,23,Residential,Detached,2008,4,4,6,2,32,11.28,"749,900"
207,"270+Bruyere+Street,Lower+Town+Ottawa",45.4346368,-75.6894489,K1N 5E6,75,Residential,Detached,1965,8,3,4,4,30.18,12.12,"1,125,000"
208,"1802+Axminster+Court,Convent+Glen+South+Ottawa",45.4706667,-75.5307562,K1C 1Z4,54,Residential,Row Unit,1977,3,2,2,1,0,0,"299,900"
209,"1294+Lampman+Crescent,Hogs+Back+Ottawa",45.3715827,-75.7040489,K2C 1P8,48,Residential,Detached,1972,4,3,5,1,30.48,15.54,"475,000"
210,"5+Whelan+Drive,Old+Barrhaven+Ottawa",45.2746737,-75.7598714,K2J 2A3,32,Residential,Semi Detached,1979,4,3,4,1,30.48,9.25,"449,000"
211,"7613+Stone+School+Road,Greely+Ottawa",45.2394398,-75.5157002,K0P 2P0,1,Residential,Detached,,3,2,4,1,76.8,26.75,"349,900"
212,"76+Valewood+Crescent,Blackburn+Hamlet+Ottawa",45.4399446,-75.5712623,K1B 4E8,20,Residential,Row Unit,1971,5,3,3,1,0,8.31,"500,000"
213,"2007+-+1195+Richmond+Road,Woodroofe+Ottawa",45.3706157,-75.782698,K2B 8E4,56,Residential,Apartment,1976,2,2,1,1,0,0,"349,900"
214,"187+Carleton+Avenue,Champlain+Park+Ottawa",45.4032818,-75.7438393,K1Y 0J5,61,Residential,Detached,,2,2,3,0,30.48,15.24,"760,000"
215,"706+-+100+Inlet+Private,Chatelaine+Village+Ottawa",45.4996161,-75.4794757,K4A 0S8,3,Residential,Apartment,2009,1,2,1,1,0,0,"450,000"
216,"203+-+215+Somerset+Street,Centertown+Ottawa",45.4178191,-75.6910851,K2P 0J1,96,Residential,Apartment,1986,1,1,1,1,0,0,"395,900"
217,"958+Pinecrest+Road,Fairfield+Heights+Ottawa",45.3540115,-75.7927111,K2B 6B5,49,Lots/Acreage,,,,,,,40.44,15.24,"695,000"
218,"727+Lakeridge+Drive,Avalon+Ottawa",45.4465274,-75.4748637,K4A 0N5,28,Residential,Stacked,2010,2,3,1,0,0,0,"345,000"
219,"2520+Kaladar+Avenue,Heron+Park+Ottawa",45.374125,-75.6711226,K1V 8C5,71,Residential,Semi Detached,1972,4,2,3,1,30.48,10.1,"399,900"
220,"6687+Russel+Road,Carslbad+Springs+Ottawa",45.3698533,-75.4421163,K1H 7Z2,5,Residential,Detached,1946,3,0,10,0,598.72,265.61,"1,100,000"
221,"54+Scrivens+Street,Britannia+Woods+Ottawa",45.3590716,-75.8047578,K2B 6H1,62,Residential,Row Unit,1968,3,2,1,0,15.6,6.71,"425,000"
222,"306+-+300+Lisgar+Street,Centretown+Ottawa",45.4168321,-75.6966237,K2P 0E2,97,Residential,Apartment,2013,1,1,0,0,0,0,"339,000"
223,"104+-+429+Somerset+Street,Centretown+Ottawa",45.418536,-75.6884057,K2P 2P5,97,Residential,Apartment,2003,2,2,1,1,0,0,"425,000"
224,"712+Reardon+Private,Robert+Ralph+Hof+Ottawa",45.3745811,-75.648769,K1V 2K8,52,Residential,Stacked,2009,2,2,1,0,0,0,"320,000"
225,"255+Rivertree+Street,Monahan+Landing+Ottawa",45.2753084,-75.848211,K2M 0J6,9,Residential,Detached,2016,3,3,4,2,25,9.14,"589,900"
226,"L+-+15+Banner+Road,Sheahan+Estates+Ottawa",45.3323337,-75.7852698,K2H 8T3,31,Residential,Row Unit,1978,3,2,1,0,0,0,"295,000"
227,"1008+-+1195+Richmond+Road,Woodroffe+Ottawa",45.3776866,-75.7746221,K2B 8E4,65,Residential,Apartment,1976,2,2,1,1,0,0,"299,900"
228,"7855+Jeanne+D'arc+Boulevard,Orleans+Wood+Ottawa",45.4825111,-75.5286668,K1C 2J1,48,Residential,Row Unit,1979,3,3,3,1,30.48,10.25,"389,900"
229,"383+Daly+Avenue,Sandy+Hill+Ottawa",45.4308373,-75.6770287,K1N 6G8,83,Residential,Row Unit,1874,4,4,2,0,30.18,7.32,"1,019,000"
230,"11+-+340+Tribeca+Private,Longfields+Ottawa",45.2896013,-75.7275715,K2J 6B4,47,Residential,Apartment,2017,3,2,2,0,0,0,"399,900"
231,"512+Bloor+Avenue,Riverview+Park+Ottawa",45.4095942,-75.6475158,K1G 0V3,40,Residential,Detached,1958,3,4,4,1,32.23,15.54,"588,000"
232,"15+Dylan+Way,Chapman+Mills+Ottawa",45.287315,-75.7134532,K2G 6E9,32,Residential,Detached,1999,4,4,4,2,34,13.7,"699,900"
233,"1225+Foxbar+Avenue,Ellwood+Ottawa",45.3680359,-75.6606961,K1V 6V4,60,Residential,Detached,1950,3,2,3,0,27.43,13.72,"499,900"
234,"2318+River+Road,Manotick+Ottawa",45.184513,-75.6284182,K4M 1B4,1,Residential,Detached,,3,1,6,0,66.35,32.92,"399,900"
235,"1349+Du+Gouverneur+Drive,Du+Gouvereur+Estates+Ottawa",45.5059048,-75.4264354,K4C 1E2,1,Residential,Detached,1990,5,4,10,3,134.68,73.44,"1,000,000"
236,"20+Carmichael+Court,Beaverbrook+Ottawa",45.3312999,-75.9130446,K2K 1K2,37,Residential,Row Unit,1972,4,2,2,0,0,0,"325,000"
237,"312+Astelia+Crescent,Stittsville/fairwinds+Ottawa",45.2842087,-75.9261393,K2S 0W7,15,Residential,Row Unit,2015,3,3,3,1,25.51,8.7,"475,000"
238,"808+Terravita+Private,Windsor+Park+Village+Ottawa",45.3431046,-75.6640295,K1V 2R9,24,Residential,Row Unit,2016,2,3,2,1,21.27,5.23,"499,900"
239,"318+-+255+Bay+Street,Centre+Town+Ottawa",45.4132533,-75.7026618,K1R 0C5,92,Residential,Apartment,2016,1,1,0,0,0,0,"419,900"
240,"54+Hartsmere+Drive,Stittsville+Ottawa",45.2482213,-75.9030208,K2S 2B7,5,Residential,Detached,2005,4,3,4,2,35,10.33,"699,000"
241,"23+Inverkip+Avenue,Huntclub/greenboro+Ottawa",45.3689819,-75.6348266,K1T 4B7,15,Residential,Semi Detached,2002,3,3,3,1,32.5,7.32,"429,900"
242,"807+Percifor+Way,Bradley+Estates+Ottawa",45.4288722,-75.5248295,K1W 0E3,1,Residential,Row Unit,2011,3,3,3,1,28.69,6.4,"499,900"
243,"196+Provender+Avenue,Cfb+Area+Ottawa",45.4491238,-75.6293824,K1K 4N7,50,Residential,Row Unit,1992,3,2,3,1,36,5.94,"369,900"
244,"744+Ludgate+Court,Beaconwood+Ottawa",45.4502572,-75.6045062,K1J 8L1,32,Residential,Detached,1975,5,5,6,2,30.48,25.91,"849,900"
245,"40+Langholm+Crescent,Barrhaven;+Pheasant+Run+Ottawa",45.2795955,-75.7706764,K2J 1H2,24,Residential,Detached,1971,4,3,4,2,30.48,24.08,"675,000"
246,"1387+Talcy+Crescent,Fallingbrook+Ottawa",45.4870828,-75.477285,K4A 3C4,28,Residential,Detached,1990,4,4,4,2,30.75,15.35,"799,900"
247,"96+Jolliet+Avenue,Vanier+Ottawa",45.4424514,-75.6666239,K1L 5H2,67,Multifamily,,1956,,,6,1,30.48,12.19,"375,000"
248,"504+-+136+Darlington+Private,Ottawa",45.3526645,-75.6681733,K1V 0X8,23,Residential,Apartment,2005,2,2,1,1,0,0,"495,000"
249,"1903+Broadmoor+Avenue,Faircrest+Heights+Ottawa",45.3977874,-75.6535321,K1H 5B3,26,Residential,Detached,2008,2,4,8,2,38.1,24.38,"1,750,000"
250,"10+Offenbach+Lane,Centrepointe+Ottawa",45.3434655,-75.7771124,K2G 4Z4,23,Residential,Row Unit,1987,3,2,2,1,0,0,"388,000"
251,"1955+Montclair+Avenue,Chapel+Hill+South+Ottawa",45.4392884,-75.5335391,K1W 1H9,6,Residential,Detached,1998,4,4,6,2,35.54,11.61,"819,900"
252,"405+-+200+Winterfell+Private,Hunt+Club+Ottawa",45.372864,-75.6232838,K1G 4J1,33,Residential,Apartment,2016,2,2,2,1,0,0,"439,900"
253,"77+Peacock+Crescent,Cedargrove+Fraserdale+Ottawa",45.2682974,-75.7698707,K2J 3N6,24,Residential,Detached,1988,3,2,3,1,31.89,9.22,"449,900"
254,"1858+La+Chapelle+Street,Chapel+Hill+Ottawa",45.4445157,-75.5365332,K1C 6A6,19,Residential,Detached,1986,4,4,6,2,34.49,13,"649,888"
255,"323+-+354+Gladstone+Avenue,Centre+Town+Ottawa",45.4132769,-75.6912769,K2P 0R4,94,Residential,Apartment,2012,1,1,0,0,0,0,"360,000"
256,"165+Destiny+Private,Fallingbrook+Ottawa",45.4738164,-75.4577534,K4A 0K6,40,Residential,Row Unit,2007,3,4,3,1,35.52,3.31,"459,000"
257,"656+Churchill+Avenue,Ottawa-carleton+Ottawa",45.383632,-75.7490143,K1Z 5G1,66,Residential,Detached,1989,4,4,2,1,30.48,7.92,"849,000"
258,"19+Squashberry+Lane,Emerald+Meadows+Ottawa",45.2812632,-75.8893868,K2V 0K1,4,Residential,Row Unit,2019,3,2,3,1,13.5,8.03,"399,900"
259,"1366+Tintern+Drive,Greely+Ottawa",45.252876,-75.5879709,K4P 1E4,2,Residential,Detached,1986,4,2,6,1,48.12,42.5,"599,000"
260,"751+Courtenay+Avenue,Laurentianview+Ottawa",45.37585,-75.763416,K2A 3B9,65,Residential,Detached,2018,6,5,4,2,30.48,15.24,"2,145,000"
261,"1466+Launay+Avenue,Fallingbrook/pineridge+Ottawa",45.4811927,-75.475061,K4A 3S1,38,Residential,Row Unit,1994,3,3,3,1,32.49,6.1,"399,900"
262,"255+Bay+Street,Ottawa+Centre+Ottawa",45.4153695,-75.7037667,K1R 0C5,90,Residential,Apartment,2016,0,1,0,0,0,0,"274,900"
263,"22+Lennon+Drive,Cedardale+Ottawa",45.3202545,-75.6916614,K1V 1G9,11,Residential,Detached,1961,4,5,12,6,36.58,38.1,"2,299,000"
264,"63+Jardin+Private,Manor+Park+Ottawa",45.4517456,-75.652084,K1K 4W1,56,Residential,Row Unit,2001,3,3,2,1,0,13.4,"674,900"
265,"1129+Rocky+Harbour+Crescent,Riverside+South+Ottawa",45.2825235,-75.68085,K4M 1H1,4,Residential,Detached,2001,3,3,4,2,32,10.75,"599,000"
266,"73+Bellman+Drive,Arlington+Woods+Ottawa",45.3262471,-75.780553,K2H 8S4,55,Residential,Row Unit,1976,3,3,1,0,0,0,"349,900"
267,"267+Kirchoffer+Avenue,Westboro+-+West+Ottawa",45.3956506,-75.7593182,K2A 1Y1,61,Residential,Semi Detached,2012,4,3,4,1,30.6,6.54,"1,750,000"
268,"269+Black+Sage+Crescent,Riverside+South+Ottawa",45.2840709,-75.6749608,K1V 2J8,4,Residential,Detached,2010,4,4,2,2,33,10.75,"799,000"
269,"905+-+3105+Carling+Avenue,Bayshore+Ottawa",45.3531221,-75.810683,K2H 5A6,60,Residential,Apartment,1996,3,2,1,1,0,0,"699,900"
270,"204+-+255+Bay+Street,Centretown+Ottawa",45.4164458,-75.7053001,K1R 0C5,92,Residential,Apartment,2016,1,1,1,1,0,0,"410,000"
271,"611+-+300+Lisgar+Street,Centre+Town+Ottawa",45.4168584,-75.6964804,K2P 0E2,97,Residential,Apartment,2013,1,1,0,0,0,0,"319,900"
272,"79+Jenscott+Private,Central+Park+Ottawa",45.3642324,-75.740834,K2C 0E4,45,Residential,Row Unit,2009,3,4,2,1,23.8,4.57,"488,800"
273,"630+Rowers+Way,Riverside+South+Ottawa",45.2691369,-75.6781377,K1X 0C5,1,Residential,Row Unit,2019,3,3,6,2,0,10.71,"648,800"
274,"81+King+Street,Richmond+Ottawa",45.1905519,-75.8270036,K0A 2Z0,2,Residential,Detached,1969,4,2,8,2,64.92,21.64,"424,900"
275,"146+Daly+Avenue,Sandy+Hill+Ottawa",45.4273102,-75.6848316,K1N 0B2,94,Residential,Apartment,2014,1,2,0,0,0,0,"409,000"
276,"2053+Scully+Way,Ottawa",45.4712658,-75.4571227,K4A 4L9,52,Residential,Row Unit,2002,3,2,3,1,34.75,5.49,"398,000"
277,"1536+Queensdale+Avenue,Blossom+Park+Ottawa",45.3448933,-75.6313424,K1T 1R7,40,Residential,Row Unit,1977,3,3,2,1,0,0,"349,000"
278,"602+-+134+York+Street,Lower+Town+Ottawa",45.4293706,-75.6895531,K1N 1K8,97,Residential,Apartment,2005,2,2,1,1,0,0,"434,900"
279,"74+Cambior+Crescent,Kanata+Lakes+Ottawa",45.3143467,-75.9301273,K2T 1J4,22,Residential,Detached,2002,4,4,6,2,36.58,15.24,"1,090,000"
280,"313+-+224+Lyon+Street,Centre+Town+Ottawa",45.414277,-75.701195,K1R 0C1,92,Residential,Apartment,2015,1,1,0,0,0,0,"345,000"
281,"6834+Mitch+Owens+Road,Greely+Ottawa",45.2729427,-75.5852759,K4P 1M6,1,Residential,Detached,1971,3,2,6,1,45.72,30.48,"399,000"
282,"442+-+340+Mcleod+Street,Centre+Town+Ottawa",45.4101166,-75.6959346,K2P 1A9,94,Residential,Apartment,2014,0,1,0,0,0,0,"305,000"
283,"354+Cooper+Street,Center+Town+Ottawa",45.4166121,-75.6951316,K2P 0G8,97,Residential,Detached,1900,4,3,3,0,22.78,12.18,"1,695,000"
284,"1546+Featherston+Drive,Guildwood+Estates+Ottawa",45.386317,-75.6518977,K1H 6P2,32,Residential,Detached,1968,6,4,6,2,30.48,24.55,"999,900"
285,"281+Duncairn+Avenue,Westboro+Ottawa",45.3859824,-75.7471691,K1Z 7H1,65,Residential,Detached,1987,3,3,3,1,32.82,10.21,"749,900"
286,"28+Aveia+Private,Springridge+West+Ottawa",45.4912007,-75.4723603,K4A 0X1,13,Residential,Row Unit,2013,2,3,2,1,16.13,8.71,"439,900"
287,"1113+-+2020+Jasmine+Crescent,Ottawa",45.4398684,-75.5936621,K1J 8K5,38,Residential,Apartment,1974,2,1,1,0,0,0,"180,000"
288,"206+-+364+Cooper+Street,Centretown+Ottawa",45.4185377,-75.6909355,K2P 2P3,97,Residential,Apartment,2002,1,1,1,0,0,0,"450,000"
289,"206+-+199+Kent+Street,Centre+Town+Ottawa",45.4169113,-75.7007603,K2P 2K8,97,Residential,Apartment,1986,2,1,0,0,0,0,"379,900"
290,"11+Burnbrook+Crescent,Crystal+Beach+Ottawa",45.3478118,-75.8247854,K2H 9A6,10,Residential,Detached,1982,4,3,8,2,0,13.3,"825,000"
291,"612+Tourelle+Drive,Fallingbrook+Ottawa",45.4689744,-75.4820485,K4A 3H4,47,Residential,Detached,1990,3,4,6,2,32.89,10.76,"499,900"
292,"234+Queen+Elizabeth+Drive,Glebe+Ottawa",45.4094911,-75.6832644,K1S 3M4,82,Residential,Detached,1933,5,4,3,1,26.01,15.65,"1,699,000"
293,"57+Hampton+Avenue,Wellington+Village+Ottawa",45.3966343,-75.7366448,K1Y 0N1,85,Residential,Detached,,5,4,3,0,29.26,15.24,"1,585,000"
294,"14+-+3333+Mccarthy+Road,Hunt+Club+Ottawa",45.354222,-75.6730132,K1V 9X5,46,Residential,Row Unit,1985,3,2,1,0,0,0,"333,000"
295,"9+Amberly+Place,Rothwell+Heights+Ottawa",45.4492367,-75.6146886,K1J 7J9,33,Residential,Detached,1951,5,3,4,1,60.96,22.86,"799,900"
296,"2404+-+179+Metcalfe+Street,Centre+Town+Ottawa",45.4189118,-75.693733,K2P 0W1,97,Residential,Apartment,2015,1,1,1,1,0,0,"500,000"
297,"1112+-+1705+Playfair+Drive,Alta+Vista+Ottawa",45.3892426,-75.6492091,K1H 8P6,28,Residential,Apartment,1989,2,2,1,1,0,0,"299,000"
298,"311+-+35+Holland+Avenue,Ottawa+West+Ottawa",45.3953419,-75.7293135,K1Y 4S2,91,Residential,Apartment,1988,2,2,1,0,0,0,"389,900"
299,"60+Armadale+Crescent,Cedargrove+Ottawa",45.2644252,-75.7700241,K2J 3Z3,29,Residential,Row Unit,1989,3,3,3,1,39.64,9.2,"489,900"
300,"380+Chapel+Street,Sandy+Hill+Ottawa",45.4246465,-75.6760346,K1N 7Z5,78,Residential,Semi Detached,,2,2,1,0,30.48,4.78,"549,900"
301,"2302+-+179+Metcalfe+Street,Ottawa+Centre+Ottawa",45.4189118,-75.693733,K2P 0W1,97,Residential,Apartment,2014,1,1,1,1,0,0,"489,900"
302,"48+Furlong+Crescent,Bridlewood+Ottawa",45.2893225,-75.8523747,K2M 2H9,32,Residential,Row Unit,1992,3,3,5,1,38.72,4.54,"489,900"
303,"909+-+360+Mcleod+Street,Centre+Town+Ottawa",45.4113856,-75.6928038,K2P 1A9,94,Residential,Apartment,2014,1,2,1,1,0,0,"465,000"
304,"209+-+300+Lett+Street,West+Centre+Town+Ottawa",45.4169111,-75.7129526,K1R 0B8,62,Residential,Apartment,2015,1,1,0,0,0,0,"349,900"
305,"635+Donat+Street,Castle+Heights+Ottawa",45.4380246,-75.6516536,K1K 3L8,67,Residential,Detached,1960,3,2,12,1,32.87,15.24,"550,000"
306,"1790+Belval+Crescent,Sunridge+Ottawa",45.4606249,-75.5147614,K1C 6J5,23,Residential,Detached,1987,3,3,5,1,30.5,9.9,"549,900"
307,"2202+Elder+Street,Woodroffe/river+Parkway+Ottawa",45.3789105,-75.7773441,K2B 6N1,45,Residential,Detached,,3,4,6,2,23.86,16.77,"1,350,000"
308,"3+-+4+Sherbrooke+Avenue,Hintonburg+Ottawa",45.4025442,-75.7256725,K1Y 1R7,89,Residential,Row Unit,2008,2,1,1,0,0,0,"499,990"
309,"704+Brierwood+Avenue,Westboro+Ottawa",45.3800738,-75.754327,K2A 2J2,75,Residential,Detached,2000,4,4,6,2,34.85,29.91,"1,589,000"
310,"6103+Heritage+Park+Crescent,Chapen+Hill+Ottawa",45.4514115,-75.5335171,K1C 7G6,29,Residential,Row Unit,1991,3,3,2,1,0,0,"399,000"
311,"134+Conifer+Creek+Circle,Monahan+Landing+Ottawa",45.2768092,-75.8375583,K2R 1G9,9,Residential,Row Unit,2017,3,3,2,1,25,9.75,"499,999"
312,"100+Quinterra+Court,Quinterra+Ottawa",45.3400599,-75.6928724,K1V 1K9,35,Residential,Row Unit,1997,2,2,6,2,41.32,11.65,"599,900"
313,"408+-+110+Forward+Avenue,Mechanicsville+Ottawa",45.4087461,-75.7330165,K1Y 4S9,49,Residential,Apartment,1988,1,1,0,0,0,0,"239,900"
314,"1211+-+120+Grant+Carman+Drive,Borden+Farm+Carleton+Heights+Ottawa",45.3473667,-75.7279491,K2E 1C8,68,Residential,Apartment,2006,2,2,1,1,0,0,"445,000"
315,"75+Belmont+Avenue,Rideau+Gardens+Ottawa",45.3949385,-75.6771422,K1S 0V2,67,Residential,Detached,1945,4,4,2,0,24.69,10.06,"1,195,000"
316,"195+Holmwood+Avenue,The+Glebe+Ottawa",45.3988551,-75.6892638,K1S 2P3,86,Residential,Semi Detached,1912,4,2,1,0,26.82,5.36,"879,000"
317,"72+Banchory+Crescent,Morgans+Grant+Ottawa",45.3513995,-75.9224187,K2K 2V2,48,Residential,Row Unit,1994,3,2,3,1,39.88,12.02,"429,000"
318,"160+Marier+Street,Vanier+Ottawa",45.4396766,-75.6656118,K1L 5S1,73,Residential,Semi Detached,2020,4,4,2,1,27.43,6.1,"899,900"
319,"1603+-+242+Rideau+Street,Sandy+Hill+Ottawa",45.4278254,-75.6871333,K1N 0B7,96,Residential,Apartment,2014,1,1,1,1,0,0,"519,000"
320,"105+Brae+Crescent,Stittsville+South+Ottawa",45.2551044,-75.9199316,K2S 1P1,34,Residential,Detached,1981,4,4,6,2,32.81,20,"625,000"
321,"206+-+100+Inlet+Private,Ottawa",45.4996161,-75.4794757,K4A 0S8,3,Residential,Apartment,2009,1,2,1,1,0,0,"429,900"
322,"359+Fifth+Avenue,Glebe+Ottawa",45.3980373,-75.6970285,K1S 2N6,57,Residential,Detached,1936,5,3,6,2,31.39,12.19,"1,380,000"
323,"4+Ramsgate+Private,Riverside+Park/+Mooney's+Bay+Ottawa",45.3719791,-75.6818948,K1V 8M4,38,Residential,Row Unit,1974,4,3,2,1,0,0,"349,900"
324,"541+Bay+Street,Centretown+Ottawa",45.4084579,-75.6981462,K1R 6B6,83,Residential,Row Unit,1903,3,2,2,0,20.12,5.03,"545,000"
325,"214+Purchase+Crescent,Traditions+Ottawa",45.2475158,-75.9159626,K2S 2L8,13,Residential,Row Unit,2019,3,3,2,1,30.06,7.4,"575,000"
326,"12+Clarendon+Avenue,Wellington+Village+Ottawa",45.398033,-75.7370361,K1Y 0P2,88,Residential,Detached,1940,4,3,6,1,29.26,15.24,"1,100,000"
327,"6356+Mattice+Avenue,Chateauneuf+Ottawa",45.4548965,-75.5225449,K1C 2G2,52,Residential,Detached,1978,3,4,6,2,30.68,16.76,"689,900"
328,"35+Dunoon+Place,Glencairn+Ottawa",45.2906196,-75.8890825,K2L 2V7,52,Residential,Detached,1983,3,3,3,1,30.48,10.67,"489,900"
